step,ss_mse,ss_mse_db,family,snr_db,seed
224000,0.08845504860658446,-10.532773745140911,time_varying,15.0,7
224000,0.006214060572004385,-22.06624517673683,colored,15.0,7
224000,0.12007297346827102,-9.205547344290792,gaussian,5.0,7
224000,0.0037159100935279417,-24.299348021925915,gaussian,15.0,7
228000,0.1788103776028142,-7.4760727969398815,colored,5.0,7
228000,0.018486112001095505,-17.331544200246842,gaussian,5.0,7
228000,0.012571731943095991,-19.006048876322698,colored,5.0,7
228000,0.21986242104712334,-6.5784899404118455,gaussian,5.0,7
232000,4.078632319427123,6.105145562999963,time_varying,20.0,7
232000,2.542805465076864,4.053131361588477,gaussian,5.0,7
232000,0.021317157640579707,-16.712707031572204,time_varying,20.0,7
232000,0.0018141254805317275,-27.413326764534055,time_varying,20.0,7
236000,0.010031366517217694,-19.98639901386675,time_varying,5.0,7
236000,0.6104693283372059,-2.1433615132285393,colored,0.0,7
236000,0.03669285673579698,-14.35418474760005,time_varying,20.0,7
236000,0.0018855114470511546,-27.24570826392622,gaussian,15.0,7
240000,0.055249633417167196,-12.576705991812284,time_varying,0.0,7
240000,0.04769334183606804,-13.215422458079097,colored,10.0,7
240000,0.3096685227418723,-5.091029376649711,time_varying,15.0,7
240000,0.035338676615612345,-14.517497182379737,impulsive,0.0,7
244000,0.3092987343869433,-5.096218570723368,time_varying,5.0,7
244000,0.03148117953546183,-15.019490038676215,impulsive,20.0,7
244000,0.013449818116929163,-18.712835885919684,time_varying,5.0,7
244000,0.058335245131472646,-12.340689728297463,colored,20.0,7
248000,0.04246401674641527,-13.719789275338998,colored,5.0,7
248000,0.16378378651957673,-7.857290926437384,time_varying,15.0,7
248000,0.020669957228769506,-16.846604220129784,time_varying,5.0,7
248000,0.24187660312983023,-6.164061391726575,colored,15.0,7
252000,0.07950253566313277,-10.996190196783807,colored,10.0,7
252000,1.451663783193993,1.6186604197620305,time_varying,5.0,7
252000,0.0024366449215584294,-26.132077532973792,time_varying,15.0,7
252000,0.07841092368886662,-11.056234300737554,impulsive,5.0,7
256000,0.045484850394049064,-13.421332293958061,impulsive,20.0,7
256000,0.0021192741341562473,-26.738128622202026,gaussian,20.0,7
256000,0.05192803944356221,-12.845980739865228,time_varying,10.0,7
256000,0.012104226074929208,-19.17062973400961,time_varying,10.0,7
260000,0.0074235284507697084,-21.293896226321984,time_varying,5.0,7
260000,0.11757187915524728,-9.296965403999483,gaussian,20.0,7
260000,0.0015739840533081856,-28.029996716980747,colored,15.0,7
260000,0.1378074474615645,-8.607273114233347,impulsive,20.0,7
264000,0.06756546833453314,-11.702752085409195,impulsive,20.0,7
264000,0.006064063549459257,-22.172362560123556,gaussian,20.0,7
264000,0.08396532757477265,-10.759000133560084,impulsive,0.0,7
264000,0.015903410958618046,-17.985097183167944,time_varying,5.0,7
268000,0.1868610032493404,-7.2848132376987795,time_varying,15.0,7
268000,0.12804047130916701,-8.926527359100664,gaussian,10.0,7
268000,0.15629131047875428,-8.060651673141448,colored,10.0,7
268000,0.16430886668642228,-7.843389998667139,impulsive,5.0,7
272000,0.01607449463227365,-17.938626719919608,colored,20.0,7
