method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
Meta-RL-s142,gaussian,10.0,0,0.03310256978784528,-14.801382901579931,0.03263918676896917,133,2340.1963180003804
Meta-RL-s142,gaussian,10.0,1,0.022758531602633237,-16.42855762356573,0.024292299065924918,103,2238.893216002907
Meta-RL-s142,gaussian,10.0,2,0.03097759027567088,-15.089523687023153,0.030061122148060428,102,2189.2709829990054
Meta-RL-s142,gaussian,10.0,3,0.0372785655142728,-14.285408077125734,0.0417981732054199,277,2248.982803997933
Meta-RL-s142,gaussian,10.0,4,0.017301532185577475,-17.619154349804024,0.026383093883370855,174,2212.2363689995836
Meta-RL-s142,colored,10.0,0,0.02217491977692247,-16.54137942638,0.02462030305641464,102,2215.7977919996483
Meta-RL-s142,colored,10.0,1,0.013876266963959263,-18.57727353374993,0.016476364038349175,100,2155.3168480022578
Meta-RL-s142,colored,10.0,2,0.0268274819099516,-15.714200892923023,0.02610586578772722,100,2261.2060730025405
Meta-RL-s142,colored,10.0,3,0.06761502367031318,-11.699567955876493,0.057970259572781395,106,2233.2507989995065
Meta-RL-s142,colored,10.0,4,0.012522485000573689,-19.023094798011698,0.016696506782808398,100,2255.379640002502
Meta-RL-s142,impulsive,10.0,0,0.029406330186069425,-15.315591706289538,0.03580529063128392,133,2261.7562060040655
Meta-RL-s142,impulsive,10.0,1,0.03158492675134512,-15.00520125927733,0.027540015619055475,100,2431.2179350017686
Meta-RL-s142,impulsive,10.0,2,0.04137630677107421,-13.832482768430793,0.029283607455015404,100,2183.6524399986956
Meta-RL-s142,impulsive,10.0,3,0.03819233839860489,-14.180237502950606,0.08656265060164084,279,2232.5965150012053
Meta-RL-s142,impulsive,10.0,4,0.020488818979615797,-16.884830745409193,0.02363521118600587,229,2209.4544999999925
Meta-RL-s142,time_varying,10.0,0,0.014164554963984534,-18.48797065992658,0.022568844398875965,100,2295.9778450021986
Meta-RL-s142,time_varying,10.0,1,0.046426935120724946,-13.332299853766132,0.05025208085625399,135,1777.6560159982182
