mse,ss_mse,ss_mse_db,conv_time,snr_improvement_db,train_family,eval_family,seed,model
0.009262999105809896,0.007472468532254162,-21.26535905109405,138,9.140619701127251,time_varying,alpha_stable,2,CNN
0.008802107011743963,0.0043959286493594025,-23.569493651581617,136,9.362269480370509,time_varying,burst,0,CNN
0.010010928779268614,0.0005194695927691975,-32.844398680196406,151,8.803392205585254,time_varying,burst,1,CNN
0.009336824990343676,0.013631096560788881,-18.65469205678303,136,9.10614373782772,time_varying,burst,2,CNN
0.01896726419663076,0.0036117427899171944,-24.42283185396949,282,6.028088986962693,time_varying,chirp_interferer,0,CNN
0.01281673398126663,0.0014247800906147792,-28.462521618787903,294,7.730362218762423,time_varying,chirp_interferer,1,CNN
0.020647712676932124,0.004138435328717804,-23.831638270221337,222,5.659416441084598,time_varying,chirp_interferer,2,CNN
0.0514410656974704,0.009174375760873698,-20.374234761109214,261,10.659931891153189,time_varying,regime_switch,0,CNN
0.0059654266982967245,0.0010921538312492409,-29.617161859978548,136,7.177643828812128,time_varying,regime_switch,1,CNN
0.04224284399671439,0.009079295954449744,-20.419478270866136,254,11.460779558307433,time_varying,regime_switch,2,CNN
0.00978859782330241,0.005984195601407048,-22.229942193451876,142,8.900931068962668,mixed,gaussian,0,CNN
0.00955537704281203,0.006020921531679804,-22.203370326743052,138,9.005657638138064,mixed,gaussian,1,CNN
0.009188350179055761,0.005582817558121986,-22.53146564225732,137,9.17576053916879,mixed,gaussian,2,CNN
0.012454483629667588,0.009302101393412523,-20.314189309184755,143,7.8548786611505435,mixed,colored,0,CNN
0.012082310173606932,0.00807817218246915,-20.92686894229464,141,7.986636116309393,mixed,colored,1,CNN
0.011023856589457079,0.007988633458655553,-20.975275050024788,138,8.384800374312203,mixed,colored,2,CNN
0.00934460812641366,0.004407619713956276,-23.55795883035711,142,9.102524986287287,mixed,impulsive,0,CNN
0.009347753166247022,0.006710291095534633,-21.732586394619275,138,9.101063562087042,mixed,impulsive,1,CNN
0.009940581084674027,0.005868703219373312,-22.31457852151638,138,8.834018200700442,mixed,impulsive,2,CNN
0.010973590729815226,0.0017369635636470245,-27.602092914197435,141,8.986632984974303,mixed,time_varying,0,CNN
